age,income,debt_ratio,credit_history,employment_length,credit_score
56,30168.456493519585,0.14046817120548405,6,34,503.6727272807967
31,75461.60940943068,0.6117166956965463,4,10,308.0809092177283
75,49464.357408807955,0.2519579884244003,8,8,471.41728540464527
26,6732.885357175991,0.1421448993053535,3,22,380.720986955697
63,9774.65949288258,0.3796990266276026,15,21,496.647245579865
61,9663.803724179117,0.21301618848748152,1,31,528.1876404585029
71,5664.8535588525465,0.28467977707861436,7,0,442.55702259655453
27,8089.591273806946,0.2796992057142211,24,19,484.47849630131054
54,14761.92484176573,0.2752868001178263,7,26,432.8632877691896
78,18063.59135525955,0.12316828653249942,18,17,635.7225048365787
18,13081.667105155952,0.43317457528660974,6,17,413.9760393360473
37,21990.62241361744,0.18197285953764622,8,31,412.48430182924955
25,35415.2332508523,0.46315389506564253,23,33,527.124615937233
47,26944.75672632871,0.4395434685010182,21,8,400.52769226002306
76,7216.7244598495445,0.21753857396834464,2,14,390.8463169030928
45,63004.66530967035,0.0659258679706717,10,13,512.4498963504175
48,8812.357641886761,0.13261490961876166,8,23,515.4277183669619
21,71596.13190280188,0.2268561309685024,12,11,417.5216021804806
23,6768.132278473804,0.44435862648469304,23,32,524.0012474190987
79,11592.833459169557,0.18120808019541798,23,31,633.3066186133096
18,59966.20505842719,0.41932129025859843,24,25,431.4979653370807
69,9076.565670348042,0.5880230811987069,23,38,487.7164190762736
65,10089.17468442081,0.4566024937948227,19,20,549.0389293425592
78,14405.688485631445,0.6277421540321212,6,7,300.0
48,14440.404363748412,0.44353112863766925,21,37,518.6798249640192
73,23183.384598611974,0.1885429368678079,13,0,506.3491174299555
19,19389.352384307775,0.38582612479610656,12,39,412.818069482772
79,35857.80314239876,0.10541125945279894,18,12,604.6468823798192
71,14561.570164295868,0.07736374607682127,8,13,546.7075603612906
79,67621.1659852621,0.46950839453341914,22,12,577.1027221319275
53,29390.983591457352,0.320296982104735,23,5,448.2647230557193
23,54888.5527147112,0.5486670432604087,9,3,306.5246471655325
23,20709.668725056523,0.43114523415685424,1,29,354.31292448620246
71,2940.486812077316,0.08405112933175805,6,29,576.3203841654829
63,13933.354609536082,0.2444023985663832,14,35,622.9225157097629
31,32275.155567317455,0.3553995142558291,6,32,426.4856219439112
41,24700.621657423042,0.13173148820128552,24,29,428.9903354940084
21,38992.880416387336,0.3242434953459601,0,33,501.9780286430003
72,14713.981001199323,0.16734286030965617,5,13,456.16881346554163
56,16793.117354212467,0.15234389686652203,13,23,527.4691885010446
40,17231.250132220957,0.20085190386032228,7,38,558.0197444806987
32,15566.21329171584,0.16649870212463097,22,2,483.82486874985074
32,63064.90183730292,0.4065039153611036,13,23,387.02908916163915
26,2986.9495307412944,0.4051677928917112,21,12,350.85356020779676
41,7349.2632597969905,0.24346993557931446,15,8,454.5457132010351
54,10564.94752683734,0.09844884522702495,9,6,475.38347032748914
36,25019.94467316921,0.3831649547346798,5,22,382.05739230003735
20,8754.168917426116,0.19119849922597593,18,11,469.58475443066175
70,98488.83948712345,0.5966633754804253,1,36,441.3832167858779
78,12059.38384120928,0.38040373831271684,23,3,489.35227331532644
30,31318.221570298065,0.1447085729361067,23,15,440.53530347524685
74,6776.204465517484,0.05561301877699735,24,10,654.3606036387318
75,147022.42072158674,0.4709650673120604,6,19,473.2792371395927
31,27652.76165055486,0.21919775328890168,9,7,452.4760262028529
35,17359.152391623345,0.13339641756222326,24,36,662.0680064837196
18,67717.32681109445,0.16482160944746213,21,27,574.0017353864134
41,64634.88187352507,0.2594713907488774,16,12,501.76411490638054
51,25814.145771535907,0.15562494884553146,22,11,550.3474826893915
32,45123.774063298464,0.27264252142017464,20,4,373.1189199017415
73,5205.739648476632,0.15962983094698802,21,33,637.6933045769854
30,28232.52426526849,0.25014883292434825,0,5,300.0
32,21967.58186907078,0.48496193750815897,12,34,376.95693581030207
44,74404.75201051364,0.1652656302089157,23,28,553.8678563550014
66,4262.631981905917,0.3110663331935302,10,18,551.6126769941939
40,13669.959051910311,0.5673257286900218,16,22,348.00017247398466
60,26152.845405902728,0.6614545113730211,3,24,393.56412635617085
76,14949.510972699038,0.5117124868160906,22,18,505.1080568185326
48,12585.964592219354,0.1107908122700467,12,37,516.740648496329
46,20870.98610244119,0.23103194838220056,21,37,433.21591497753343
66,29666.71422606435,0.23304545808605898,12,15,476.2453899943258
41,7404.418168239314,0.17249910311761704,12,20,516.7716631030823
34,24508.096327162646,0.2446892739934777,17,19,454.5377756092114
19,50373.22801375394,0.23396558947846352,21,17,484.0959818162148
32,20022.96328633235,0.2358414659381887,19,14,472.36351928855527
32,57571.56095364287,0.20959259299493954,2,24,375.7329619121084
18,6376.94805873317,0.167868253210626,1,20,355.4877033412869
42,60115.55900762151,0.0908461543143194,5,35,465.8614131210654
27,16058.452484973159,0.2934093854938784,19,24,497.33515884357865
54,27859.10849943604,0.5442719036772476,11,11,407.67194857962596
28,24429.19104941478,0.2167362535654467,5,1,300.0
41,2406.2535342791366,0.22938144548279107,0,19,489.5345869909358
66,19827.68090624816,0.07504281558110401,16,24,576.7951479874049
44,41112.43768640553,0.19909055224421923,8,4,410.5030733044296
63,3935.913870062209,0.36978177578019084,1,18,441.4601184875981
69,40233.10378237881,0.22746534680240316,15,19,535.279673226477
73,20543.22049802945,0.0764604799040554,0,18,454.50000832842676
19,8984.228104656851,0.19346727297869384,5,31,449.4866638823909
38,1673.4706409664125,0.433017285631706,16,30,444.3595083804459
60,8015.117720008402,0.2726086303677646,4,24,476.7533852096308
21,24343.465556150943,0.1519358137378548,17,8,300.0
48,8782.158804048715,0.41756537019761375,16,32,443.1741140989805
29,38784.41228553881,0.4590449536271482,24,17,459.2874089177831
73,15184.725876990184,0.3901872396645689,2,32,510.9951514379617
